CFSProbComp,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Public Service Department
Completed Work Orders by Problem Type",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Page:,1
Date:,,,01/18/2019,,,,,,,,,,,,,,,,,,
,,,,,,,,01/01/2018,,,to,,12/31/2018,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TOTALS FOR PS TYPE: PS10 Pothole,,,,,,,,,,,,,,,,,,,,,
,WO Num,,,,,                 Created,,,Completed,,,,,Organ,Ctr,WO Units,,,Weight,,
,WO-PS-18-003175,,,,,2/27/2018 11:31 AM,,,2/27/2018 12:00 AM,,,,,43175,508 ,2,,,"1,994",,
,WO-PS-18-003186,,,,,2/27/2018 12:40 PM,,,2/27/2018 12:00 AM,,,,,43173,302 ,0.99,,,1,,
,WO-PS-18-003201,,,,,2/27/2018 4:50 PM,,,3/1/2018 12:00 AM,,,,,43175,508 ,0,,,0,,
,WO-PS-18-003227,,,,,2/28/2018 8:24 AM,,,2/26/2018 12:00 AM,,,,,43176,605 ,1,,,1,,
,WO-PS-18-003242,,,,,2/28/2018 9:01 AM,,,2/27/2018 12:00 AM,,,,,43176,605 ,1,,,1,,
,WO-PS-18-003261,,,,,2/28/2018 11:50 AM,,,3/1/2018 12:00 AM,,,,,43172,210 ,2,,,0,,
,WO-PS-18-003269,,,,,2/28/2018 1:15 PM,,,2/28/2018 12:00 AM,,,,,43175,507 ,1.5,,,"3,021",,
,WO-PS-18-003280,,,,,2/28/2018 1:28 PM,,,2/28/2018 12:00 AM,,,,,43173,304 ,1.06,,,1,,
,WO-PS-18-003308,,,,,3/1/2018 7:52 AM,,,3/5/2018 12:00 AM,,,,,43172,101 ,1,,,0,,
,WO-PS-18-003310,,,,,3/1/2018 7:58 AM,,,3/5/2018 12:00 AM,,,,,43172,101 ,1,,,0,,
